Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,5.3916552338824175,3.8296882674198023,0.0,1.0,1.0,1.0,1.0
2,3.7793897558378693,3.4551055719388413,0.0,1.0,1.0,1.0,1.0
3,3.4838867991562656,3.0436339214344152,0.0,1.0,1.0,1.0,1.0
4,3.280727612492222,2.856750533884804,0.0,1.0,1.0,1.0,1.0
5,3.155112440554088,3.223996339228329,0.0,1.0,1.0,1.0,1.0
6,3.0118339877800655,2.6289475732201697,0.0,1.0,1.0,1.0,1.0
7,2.8901282912932786,2.831065172717075,0.0,1.0,1.0,1.0,1.0
8,2.8399458167536946,2.5450760366132594,0.0,1.0,1.0,1.0,1.0
9,2.7490265741444273,2.5465071573353453,0.0,1.0,1.0,1.0,1.0
10,2.6812135693210886,2.566708766774043,0.0,1.0,1.0,1.0,1.0
11,2.62660077034227,2.382313708330961,0.0,1.0,1.0,1.0,1.0
12,2.578991694738401,2.4133398046829555,0.0,1.0,1.0,1.0,1.0
13,2.5245079470160823,2.3059979711202967,0.0,1.0,1.0,1.0,1.0
14,2.494868038084683,2.339329281909354,0.0,1.0,1.0,1.0,1.0
15,2.437143462216294,2.3313740003829033,0.0,1.0,1.0,1.0,1.0
16,2.3710159831399085,2.2030151272380114,0.0,1.0,1.0,1.0,1.0
17,2.3300857539945,2.1057442844714096,0.0,1.0,1.0,1.0,1.0
18,2.32665469622452,2.11162393425135,0.0,1.0,1.0,1.0,1.0
19,2.2508734436643203,2.1928579177232397,0.0,1.0,1.0,1.0,1.0
20,2.180591843272216,1.9793479472598774,0.0,1.0,1.0,1.0,1.0
21,2.1724885932151103,2.069365172378169,0.0,1.0,1.0,1.0,1.0
22,2.120138545564357,1.9900834156362803,0.0,1.0,1.0,1.0,1.0
23,2.0751615238669734,2.25265083617012,0.0,1.0,1.0,1.0,1.0
24,2.0756578737457327,1.9786274549145026,0.0,1.0,1.0,1.0,1.0
25,2.0079091589322826,1.8700633091014505,0.0,1.0,1.0,1.0,1.0
26,1.9961752407502809,1.9380787240978856,0.0,1.0,1.0,1.0,1.0
27,1.9510350447373102,1.8997000507860375,0.0,1.0,1.0,1.0,1.0
28,1.8922890946769075,1.8941102684944269,0.0,1.0,1.0,1.0,1.0
29,1.8902008605483394,2.1958580597135047,0.0,1.0,1.0,1.0,1.0
30,1.802757954837492,1.83964219789377,0.0,1.0,1.0,1.0,1.0
31,1.7626790274309632,1.8489409677134265,0.0,1.0,1.0,1.0,1.0
32,1.742862386791498,1.8209828258360792,0.0,1.0,1.0,1.0,1.0
33,1.7187854163598695,2.041180362637411,0.0,1.0,1.0,1.0,1.0
34,1.6755619503107646,1.8402977947820753,0.0,1.0,1.0,1.0,1.0
35,1.602172705951153,1.828762120448503,0.0,1.0,1.0,1.0,1.0
36,1.5673827356940149,1.830087312115919,0.0,1.0,1.0,1.0,1.0
37,1.4977541481888534,1.9448837135862185,0.0,1.0,1.0,1.0,1.0
38,1.4889221029393624,1.9461107338034866,0.0,1.0,1.0,1.0,1.0
39,1.4226679807941385,1.8084029876345755,0.0,1.0,1.0,1.0,1.0
40,1.4101647701639457,1.8026585685926795,0.0,1.0,1.0,1.0,1.0
41,1.2987090845236042,1.8626620281462702,0.0,1.0,1.0,1.0,1.0
42,1.2869234789137873,1.7907053497213645,0.0,1.0,1.0,1.0,1.0
43,1.2449938215865384,1.823554999576319,0.0,1.0,1.0,1.0,1.0
44,1.2319649271917024,1.9431613191662218,0.0,1.0,1.0,1.0,1.0
45,1.1604968872446342,1.866733507822024,0.0,1.0,1.0,1.0,1.0
46,1.1044445822902973,2.013323731970467,0.0,1.0,1.0,1.0,1.0
47,1.0710186097245888,1.9566188935665476,0.0,1.0,1.0,1.0,1.0
48,0.998339693518293,1.968981109509532,0.0,1.0,1.0,1.0,1.0
49,0.9879233841127997,1.9765822660402963,0.0,1.0,1.0,1.0,1.0
50,0.9543091378756018,2.1447228283290096,0.0,1.0,1.0,1.0,1.0
51,0.9020820683080878,2.234413318386014,0.0,1.0,1.0,1.0,1.0
52,0.8717860830510222,2.168333203200526,0.0,1.0,1.0,1.0,1.0
53,0.8291513529799929,2.0959018916891727,0.0,1.0,1.0,1.0,1.0
54,0.6311476202619156,1.8968215560753074,0.0,1.0,1.0,1.0,1.0
55,0.552607303647787,1.931415843333574,0.0,1.0,1.0,1.0,1.0
56,0.5135740965804798,1.951601574484934,0.0,1.0,1.0,1.0,1.0
57,0.4876820605573238,1.9790586961695813,0.0,1.0,1.0,1.0,1.0
58,0.47647892483728843,1.980718988750205,0.0,1.0,1.0,1.0,1.0
59,0.4571655946439945,2.0234521106385546,0.0,1.0,1.0,1.0,1.0
60,0.4448834043621217,2.0285235524877607,0.0,1.0,1.0,1.0,1.0
61,0.42571144181009907,2.043380659198601,0.0,1.0,1.0,1.0,1.0
62,0.41647688889463474,2.072023760202347,0.0,1.0,1.0,1.0,1.0
