Epoch,Training Loss,Validation Loss,Alpha
1,3.0323180110042633,2.4002190310293465,0.2
2,2.2905541209026157,2.1656602689733058,0.2
3,2.0635161936595177,1.8591574723807929,0.2
4,1.9065135761081236,1.8006128653181785,0.2
5,1.8104732922858593,1.728200000930207,0.2
6,1.7473470347089917,1.6469438291344967,0.2
7,1.7034781116465623,1.585094667229977,0.2
8,1.6506953876055972,1.5547388211594826,0.2
9,1.623434381959326,1.4961118613862243,0.2
10,1.5670349526155682,1.4873844775229847,0.2
11,1.536114463007263,1.4933368098673396,0.2
12,1.5036909368025695,1.4172648874877012,0.2
13,1.454700683736052,1.444905885851196,0.2
14,1.406673999356974,1.3618552709749232,0.2
15,1.382556601656669,1.423519830429117,0.2
16,1.3670735465294404,1.3505821331009191,0.2
17,1.3380923661261952,1.4123710421991598,0.2
18,1.3049390749781544,1.333310739532191,0.2
19,1.266672501701335,1.286691431911828,0.2
20,1.2440807204596036,1.3013930208395914,0.2
21,1.2182270488189777,1.3977935435884286,0.2
22,1.1756196365306515,1.253943697008163,0.2
23,1.1528671917490934,1.2909366866056833,0.2
24,1.1184906098230971,1.4127903043911718,0.2
25,1.0775041839215145,1.2619114056307608,0.2
26,1.040898282802542,1.2452036988048654,0.2
27,1.0245304672505844,1.2067406639378733,0.2
28,0.9987650320167941,1.2806436828293726,0.2
29,0.958868288869009,1.246567341981758,0.2
30,0.936854920462164,1.260546340524214,0.2
31,0.8915726678221637,1.2342552088630137,0.2
32,0.8707113766857467,1.289533921561316,0.2
33,0.8183540545833048,1.231866869470836,0.2
34,0.7962179358717034,1.3036954287459088,0.2
35,0.768969109779253,1.3210152808908393,0.2
36,0.7414191711635489,1.4510802211561753,0.2
37,0.6827196300965953,1.5112284297094296,0.2
38,0.6859443688579879,1.3574783901893657,0.2
39,0.5224516217777242,1.1176883253751624,0.2
40,0.4735603857570918,1.107689995572205,0.2
41,0.4437782351727261,1.1238062394227033,0.2
42,0.4260461016787284,1.1331100276627466,0.2
43,0.41214100415794014,1.1484591612953166,0.2
44,0.40223843577020457,1.137984606139947,0.2
45,0.3858653483278464,1.1647943768513764,0.2
46,0.37597678820188135,1.1552552551187145,0.2
47,0.37148533835617037,1.160058073660466,0.2
48,0.3571460193208375,1.1567018200589725,0.2
49,0.34857131728015023,1.1823181591108831,0.2
50,0.3471345055789848,1.1831387629371664,0.2
51,0.34104729623226593,1.216066034988583,0.2
52,0.3181098129268716,1.1755752115661562,0.2
53,0.3281002735514291,1.174113618921859,0.2
54,0.30912482371817085,1.191016523157739,0.2
55,0.3077067051726486,1.1883000032439905,0.2
56,0.3061534706600674,1.1729715304224904,0.2
57,0.31169548981788897,1.1771782864450784,0.2
58,0.30886300251433985,1.1800171115011444,0.2
59,0.30492482884392064,1.177936535231106,0.2
60,0.3044047904888373,1.1734302371584309,0.2
